Rk,2017 wins,team,FO_wins
0,6.75851707879,Jacksonville Jaguars (2014-2016),7.2
1,8.34550318187,Houston Texans (2014-2016),6.9
2,7.25941342082,Tampa Bay Buccaneers (2014-2016),7.5
3,7.55953381359,New York Jets (2014-2016),6.3
4,7.75747084963,New York Giants (2014-2016),8.4
5,6.25653156543,Cleveland Browns (2014-2016),6.1
6,7.44732603723,Miami Dolphins (2014-2016),7.3
7,7.97963176669,Baltimore Ravens (2014-2016),8.5
8,7.46969474592,Oakland Raiders (2014-2016),8.7
9,7.92453436049,Washington Redskins (2014-2016),7.8
10,8.26676928078,Buffalo Bills (2014-2016),6.9
11,7.04930426584,St. Louis Rams (2014-2016),8.3
12,8.38238792981,Atlanta Falcons (2014-2016),8.3
13,7.12310654827,Tennessee Titans (2014-2016),8.1
14,8.79385830116,Carolina Panthers (2014-2016),8.5
15,8.83134012054,Pittsburgh Steelers (2014-2016),10.5
16,8.93804140271,Arizona Cardinals (2014-2016),8.6
17,7.6059764892,Indianapolis Colts (2014-2016),7.2
18,8.26465580505,Minnesota Vikings (2014-2016),7.6
19,8.03104065341,Detroit Lions (2014-2016),8.0
20,7.48141324928,San Diego Chargers (2014-2016),7.8
21,6.56531397706,San Francisco 49ers (2014-2016),6.5
22,7.23669059902,New Orleans Saints (2014-2016),7.2
23,9.57550701605,Seattle Seahawks (2014-2016),9.8
24,8.58821544658,Green Bay Packers (2014-2016),9.3
25,9.01822334764,Cincinnati Bengals (2014-2016),8.2
26,9.08071540061,Kansas City Chiefs (2014-2016),8.2
27,8.43364329206,Dallas Cowboys (2014-2016),8.7
28,7.70751058284,Philadelphia Eagles (2014-2016),8.1
29,9.71766952578,New England Patriots (2014-2016),11.1
30,6.99318288883,Chicago Bears (2014-2016),7.3
31,9.19174890783,Denver Broncos (2014-2016),7.2
